eeacellcode	T	Sobs	Q1	Q2	U	C1_hat	C1_lo	C1_hi	C1_width	C0_hat	C0_lo	C0_hi	C0_width	reliable_complete
5kmE3975N3095	2956	1419	524	176	14270	0.9632879532629374	0.9756774977576376	0.9864291427159972	0.010751644958359674	0.645357419744883	0.7667394690634364	0.9291609483866853	0.1624214793232489	True
5kmE3990N3095	5572	2140	809	264	29414	0.9724993120765366	0.984092856460723	0.9888806859496144	0.0047878294888914485	0.6332625807356026	0.8075986095663426	0.9096038028283688	0.10200519326202628	True
5kmE3995N3095	4518	2738	976	397	27782	0.9648756658531554	0.978938397648876	0.9838620163254864	0.004923618676610397	0.6953734958437569	0.8251908248477451	0.9004160575640049	0.0752252327162598	True
5kmE3985N3095	4418	1486	542	211	21623	0.9749385156139806	0.9847852983414878	0.9891118118093942	0.004326513467906468	0.6810372999616422	0.8007261234381816	0.9113128551805292	0.11058673174234757	True
5kmE3980N3095	3354	1597	609	200	15310	0.9602298675890608	0.9759750002500984	0.9840961024828314	0.00812110223273299	0.6327443698132679	0.8029633309728167	0.9086769258754611	0.10571359490264443	True
5kmE4000N3095	3902	2446	888	316	21390	0.9584928461986384	0.9736155253822562	0.9815802318848603	0.007964706502604169	0.6622666378089039	0.8103339530300925	0.9038826431731523	0.09354869014305978	True
5kmE3970N3100	4047	1546	586	253	20227	0.9710350044546856	0.9817753329966087	0.9879930862290899	0.0062177532324811935	0.6949937207282717	0.8116192295462801	0.903143018412831	0.09152378886655088	True
5kmE3955N3090	5610	2368	793	333	34819	0.9772284878935839	0.9852815166140013	0.9896096109935378	0.004328094379536518	0.7149651796576271	0.8261726385081375	0.9099263741121315	0.08375373560399402	True
5kmE3950N3095	7984	3012	994	382	74933	0.9867360934989408	0.9922904078898257	0.9939526359747589	0.001662228084933215	0.6996387520195293	0.8388994987787267	0.9032499257272595	0.06435042694853277	True
5kmE3960N3095	5547	1764	596	235	26662	0.9776492661358619	0.9852533374637215	0.9913154649409543	0.006062127477232893	0.7000993270340163	0.8086474946162641	0.9329582419503581	0.12431074733409408	True
5kmE3945N3095	9300	3437	1150	464	109845	0.9895316107880883	0.9937559289135018	0.9951482746198551	0.0013923457063532707	0.7069173487728156	0.8398948639856418	0.9036882120456641	0.06379334806002224	True
5kmE3955N3095	5614	2458	814	313	38699	0.9789687462604839	0.987023175660032	0.990688259368338	0.003665083708306094	0.6990358915286499	0.841320318984956	0.9112762861279128	0.06995596714295682	True
5kmE3965N3095	4897	1466	451	201	24576	0.981652103389385	0.9880390074697196	0.9915123538283881	0.003473346358668472	0.743456977454925	0.8368478433027327	0.9220814266558569	0.08523358335312425	True
